company_name,company_star_rating,role_title,role_location,industry,company_type,listing_desc,listing_url,page_url,page_num
IQVIA CSMS,4.0,Data Analytics Analyst,"London, England",Company - Public (IQV),Biotech & Pharmaceuticals,"
Responsible for quality assuring outputs and investigating data issues arising from Covid Infection Survey data. 
Create and enhance quality assurance reports that will proactively detect data issues. 
Support Customer facing and Internal teams with data investigations and data queries. 
Becomes a Subject Matter Expert (SME) on all deliverables supported and be able to advise team members and stakeholders on the best approach to deal with any challenges encountered. 
Establishes and maintains a work schedule to provide appropriate support on all platforms for all deliverables and data assets uported. 
Serve as a secondary escalation point for directing and resolving exceptions and complex queries. 
Provide direct support to client facing teams, business line initiatives or 3rd parties 
Maintain and enhance Knowledge Management and training procedures for existing team members and new starters so that all processes supported have appropriate levels of cover. 
Performs ongoing analysis and evaluation of existing processes with the objective of generating continuous improvements. 
Ensures that all newly-developed products can be supported by the team and have best practice quality assurance procedures in place. 
Scientific type degree or equivalent and a minimum of two years’ experience in a data analytics role. 
Excellent analytical skills and attention to detail 
Demonstrated communication skills with a customer service focused approach 
Proficiency in SQL query writing to obtain data 
MS Office applications inc. Advanced Excel, Word, PowerPoint 
Ability to problem solve in real time 
Ability to work under pressure and manage multiple priorities 
Experience in the Healthcare sector or working with sensitive personal data a plus 
Experience working with Salesforce a plus 
Reports to: Data Analytics Manager (CIS ProdOps / DataOps)",www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1110586&s=58&guid=0000018481102d54bb94fde9b14e82c1&src=GD_JOB_AD&t=SR&vt=w&cs=1_e14b09eb&cb=1668612632192&jobListingId=1008276517396&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1gi0h0bcaimbp801-1gi0h0bcqg4ft800-6f81ea92659632c6--6NYlbfkN0DPiPBVS3KmjTqjymWZvPzPJEsEe9JFHhSvGO4UmOZP0vA-d9WQzxIoLydL8ifbNFd-8aAHlwqdP9rGf4YzevS9dm6RuFoV8VwMvNaE5FzvrDGJGjUPsim7eK4Z96dO2kNcIO5iwOT_QqkyjTBHkhpbw23uMKtXi56nlCySazVTODji6vgLJAfOWGpYiKJ8QmPXjG5bxyPt_LnEM-nxh4WStwqTJ1X6kobAvpLyPTjWtRI944DE4E2arFE_O_pX89DyTDsH_JpWzllZyz-3SdHVnJur-mbTvmVH6Yfho3s2jV-6yIdmjG6A1fTnRsxWCmceKvnty_FPrav9BiXDQK9gqszzi2l-7m7IChUTWmO-9ecJfyZs6E2LLg52r8jKDo0aeUrZU9ZNTMKv_Oc7jg64tzjbiRwDdm9EiNb3TxJsFmyZi1nBlewkfmgmz9gKGYWYG2Z4XVJmZ1U9DKE4e2RzvDLqPBhvmqtjwihVT4ac3EkO-vHsa8jQQcbNeominJdK0YRJlBoagpvoyv2y7iqAt8ICsqtEgRSo0DGkbo56OdebKsaCsS5sJXMMrWQrVtJQJzJcRLLUxYknGSMvZTNR_QYJKp-T8Fme54SwGZfB3MHG0ezkpTc2lewSOZO5NfD6SirrH7lktApiQJ5YDSs9lRG6wXaDK8UUH-RTQbJo8Zpjp4pUyhO56TpppKrjKQZVlyD-eE3nVAwANb09Zgk3uv0Hh5mheJ8%3D,"https://www.glassdoor.com/Job/london-data-scientist-jobs-SRCH_IL.0,6_IC2671300_KO7,21_IP1.htm?fromAge=7",1
"JPMorgan Chase Bank, N.A.",3.8,Data Scientist Lead,"London, England",Company - Public,Banking & Lending,"Engaging with stakeholders and understanding business requirements,
 Developing AI/ML solutions to address impactful business needs,
 Working with other team members to productionize end-to-end AI/ML solutions,
 Engaging in research and development of innovative relevant solutions,
 Documentation of developed AI/ML models to stakeholders,
 Coaching other AI/ML team members towards both personal and professional success,
 Collaborating with other teams across the firm to attain the mission and vision of the team and the firm, and
 Providing the support to other teams and as needed.
 Advanced degree in analytical field in a relevant field, like (e.g., Data Science, Computer Science, Engineering, Applied Mathematics, Statistics, Data Analysis, Operations Research),
 PhD in one of the above disciplines is highly recommended, but not required,
 Minimum 5 years of experience in the application of AI/ML to a relevant field,
 Demonstrated practical experience in machine learning techniques, supervised, unsupervised, and semi-supervised.
 Strong experience in natural language processing (NLP) and its applications.
 Solid coding level in programming languages, like Python, R, and C++, with experience in leveraging available libraries, like Tensorflow, Keras, Pytorch, Scikit-learn, or others, to dedicated projects.
 Previous experience in working on Spark, Hive, and SQL,
 Strong experience and knowledge in dashboarding and AI/ML prototyping tools,
 Experience working with engineering teams to operationalize Machine Learning models,
 Excellent problem solving, communications, and teamwork skills,
 Minimum 2 years of experience in leading teams and motivated to lead other team members,
 Excellent experience in documentations of technical approaches with a great presentation skills,
 Financial service background preferred, but not required,
 Strong communication skills, and
 Able of working independently and in a team work.
",www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=0000018481102d54bb94fde9b14e82c1&src=GD_JOB_AD&t=SR&vt=w&cs=1_af90e6db&cb=1668612632194&jobListingId=1008275460279&jrtk=3-0-1gi0h0bcaimbp801-1gi0h0bcqg4ft800-b4e362726ba451f8-,"https://www.glassdoor.com/Job/london-data-scientist-jobs-SRCH_IL.0,6_IC2671300_KO7,21_IP1.htm?fromAge=7",1
UK Health Security Agency,3.4,Data Scientist,"London, England",Company - Public,NA,"The post is within Reference Division at Colindale. The primary function of this post is to coordinate and develop the collation and data analysis for Virology unit. Under the supervision of senior scientific staff, the post holder will regularly enter, extract, collate and validate data-sets and carry out analyses to monitor trends, geographic distribution and risk factors. They will contribute to the delivery of surveillance and policy reports and to peer-reviewed publications.

As a Data Scientist, you will be part of a dynamic team responsible for delivering an effective public health data science service supporting public health delivery.

You will work to develop the data reporting infrastructure by identifying and developing opportunities for further automation and reproducible analyses, developing new data products and enabling the service to take advantage of technological advances in UKHSA .

The post-holder will support the implementation of strategies to support and improve our surveillance of various , including the development and implementation of standardised data collection and analysis protocols, identifying data quality issues and facilitating their resolution. They will ensure that data are collected and processed in accordance with relevant policies and standard operating procedures (SOPs) and will undertake regular assessments of data quality and completeness.

We pride ourselves as being an employer of choice, where Everyone Matters promoting equality of opportunity to actively encourage applications from everyone, including groups currently underrepresented in our workforce.

UKHSA ethos is to be an inclusive organisation for all our staff and stakeholders. To create, nurture and sustain an inclusive culture, where differences drive innovative solutions to meet the needs of our workforce and wider communities. We do this through celebrating and protecting differences by removing barriers and promoting equity and equality of opportunity for all.

You will also help modernise and promote the use of data science and work with others to identify opportunities and apply modern data analysis techniques to surveillance and epidemiology Service and public health intelligence problems and issues.

The post holder will seek to influence VRD and Reference Services data science at an operational level. The post requires a high degree of innovation and the need to take initiative. The post requires excellent communication both in writing and orally, and the ability to think critically and strategically.
1. Providing expert advice and support in the use of surveillance databases
2. Applying specialist analytical and statistical methods to potentially highly complex epidemiology and surveillance data from a variety of sources as requested
3. Planning, managing and delivering on a range of assigned projects requiring analytic input, including negotiating and agreeing the most appropriate data output, initiating and planning workloads and setting delivery timescales
4. Supporting the VRD and Reference Services to plan, manage and deliver on a range of data science projects requiring analytical input
5. Work with colleagues to and utilise information and intelligence systems related to the projects to underpin public health action across UKHSA
6. Coordinate the development and productivity of the information and intelligence system(s) related to the projects
7. Communicate effectively specialist information with colleagues
8. Perform all work in cognisance of data protection requirements and the need to maintain
confidentiality and security of surveillance information

The above is only an outline of the tasks, responsibilities and outcomes required of the role. You will carry out any other duties as may reasonably be required by your line manager.

The job description and person specification may be reviewed on an ongoing basis in accordance with the changing needs of the division and UKHSA.

Applicants are strongly advised to use the criteria in the job description/person specification (available online) as sub-headings in their application to make it clear how they meet each of the selection criteria.

Eligibility Criteria :
Open to all external applicants (anyone) from outside the Civil Service (including by definition internal applicants).

Security Clearance Level Requirement:
People working with government assets must complete Basic Personnel Security Standard (BPSS) checks which include disclosure and barring security check. Successful candidates must meet the security requirements before they can be appointed. The level of security needed for this role is BPSS

Pay

New entrants to the Civil Service are expected to start on the minimum of the pay band.

The internal roles rules apply to existing Civil Servants, i.e., level transfers move on current salary or the pay range minimum, transfers on promotion move to new pay range minimum or receive 10% increase. Either case is determined by whichever is the highest.

For further details, please refer to the Information Sheet- Starting Salaries & Benefits attachment.

Unfortunately, late applications will not be considered.Show more ",www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=0000018481102d54bb94fde9b14e82c1&src=GD_JOB_AD&t=SR&vt=w&cs=1_fc339297&cb=1668612632192&jobListingId=1008282789861&jrtk=3-0-1gi0h0bcaimbp801-1gi0h0bcqg4ft800-57ef96b5b4e56d28-,"https://www.glassdoor.com/Job/london-data-scientist-jobs-SRCH_IL.0,6_IC2671300_KO7,21_IP1.htm?fromAge=7",1
Sky,3.9,Data Scientist,"London, England",Company - Public (LON:SKY),Broadcast Media,"
Develop relationships with stakeholders to reach a deep understanding of their business 
Understanding the commercial opportunities that exist to improve the way we make decisions 
Be a key driver in delivering the team’s optimisation roadmap utilising data science techniques 
Support development of a common predictive framework to optimise customer journeys with the use of data and best available tools and environments 
Develop, refine and scale data management and analytics procedures, systems, workflows & best practices 
Data Science experience: Solid understanding of data science methods using open source or commercial tools. Coding experience: Python, SQL 
Big Data experience: Experience in dealing with very granular data, using key Big Data technologies and comfortable with Linux/UNIX environments. Experience with cloud environments a plus (Google Cloud Platform, Amazon EC2). 
Working in a dynamic environment: Positive, can-do attitude, and adaptability to quickly evolving objectives with strong ability to communicate findings in a non-technical manner and to pitch at the right level 
High levels of logical thinking & problem solving skills. Able to deal with complex problems using innovative and industry leading techniques 
Sky Q, for the TV you love all in one place 
The magic of Sky Glass at an exclusive rate 
A generous pension package 
Private healthcare 
Discounted mobile and broadband 
A wide range of Sky VIP rewards and experiences",www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000018481102d54bb94fde9b14e82c1&src=GD_JOB_AD&t=SR&vt=w&cs=1_01b871f4&cb=1668612632194&jobListingId=1008283187805&jrtk=3-0-1gi0h0bcaimbp801-1gi0h0bcqg4ft800-6b2580423cb3a5e1-,"https://www.glassdoor.com/Job/london-data-scientist-jobs-SRCH_IL.0,6_IC2671300_KO7,21_IP1.htm?fromAge=7",1
Barclays,4.0,Credit Risk Data & Analytics,"London, England",Company - Public (BARC),Banking & Lending,"Working with Risk to hold the pen on completion of Project Eagle Model Data Requirements Building out data sourcing requirements by liaising with Risk, Data Curation (Tech) or Data Remediation to deliver against identified requirements Following Data Operating Model when defining new requirements Ensuring data is sourced from ADS and not duplicated (by checking data whether data is available already at requirements stage) Measuring of credit risk for transactions and on portfolio basis Monitoring risk against the limits and other parameters Controlling the level of risk Previous experience in a Risk / Data function and/or banking regulatory requirements A good understanding of Credit Risk principles and internal policies and standards Ability to co-ordinate workload across multiple data domains and project work streams Understanding of data systems/ data architecture Experience of working with distributed teams across different regions Experience previously worked in an environment that has enabled them to gain a broad understanding of Financial Services",www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=0000018481102d54bb94fde9b14e82c1&src=GD_JOB_AD&t=SR&vt=w&cs=1_64ee8d05&cb=1668612632194&jobListingId=1008285348572&jrtk=3-0-1gi0h0bcaimbp801-1gi0h0bcqg4ft800-de98c9e5fdd1dcf1-,"https://www.glassdoor.com/Job/london-data-scientist-jobs-SRCH_IL.0,6_IC2671300_KO7,21_IP1.htm?fromAge=7",1
Millennium Management LLC,3.7,L/S Equity - Data Scientist (6 month contract/Internship),"London, England",Company - Private,Investment & Asset Management,"L/S Equity - Data Scientist (6 month contract/Internship)
The Data Science Intern will help support the building/maintenance of investment tools/databases used by a discretionary L/S equity team at Millennium. The intern can expect to join the team for a 6 month period, with the possibility to extend in exceptional performance.
The role will involve end-to-end exposure to investment products, including data gathering (webscraping), data processing, statistical/ML analysis, data visualisation and investment interpretation. You will be supporting analysts covering stocks across European Industrials and TMT.
Competency in Python, strong communication skills and interest in financial markets is expected. Experience in advanced excel, VBA/R/SQL and other coding languages would be a plus.
This role is suitable for recent graduates or graduate students with an exceptional quantitative/coding background who have interest in data applications for discretionary and/or systematic investing.
Candidates with quantitative degree backgrounds are encouraged to apply. This includes (but is not limited to) MSc/BSc Data Science, Machine Learning, Quantitative Finance, Statistics, Mathematics, Econometrics. Relevant work experience will be supportive of your application.
As part of the application process you will be asked to complete a coding task in python. Short-listed candidates will be invited for interview at MLP London Offices.
Applications will be assessed on a rolling basis. Early applications will be prioritised.Show more ",www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=0000018481102d54bb94fde9b14e82c1&src=GD_JOB_AD&t=SR&vt=w&cs=1_b9e153a9&cb=1668612632194&jobListingId=1008280357259&jrtk=3-0-1gi0h0bcaimbp801-1gi0h0bcqg4ft800-9834b3e20d3047ae-,"https://www.glassdoor.com/Job/london-data-scientist-jobs-SRCH_IL.0,6_IC2671300_KO7,21_IP1.htm?fromAge=7",1
Acacium Group,4.1,Data scientist,"Cheshunt, England",Company - Private,Health Care Services & Hospitals,"Creating, innovating and delivering strategic data in line with the current and future market which supports our business goals Be extracting data from multiple sources, sifting and analysing data from various angles, looking for trends to highlights problems or opportunities for Acacium Group Using strong commination skills to participate in the weekly meetings with the department by presenting data information which support accurate decision-making Influencing data driven information to help make strategic decisions which are based on the data analysis Being heavily involved in Microsoft Azure and components in the Azure suite of applications, joining online courses to keep up to date with the newest trends within Microsoft Programming languages within analytics, data mining and data science using out tools such as R, Python and SQL Dedication to developing you and your career- we can give you the tools, guidance and support you need to be successful in your career
 Keeping up with the Microsoft training courses Flexible working model with opportunities to work from home Workplace pension scheme Health Assessments and Dental Insurance Life Assurance, Critical Illness Cover and Private Medical Insurance
 Christmas & Summer parties Proven ability to review and analyse large data sets and data mining Background in programme language used on data and forecasting data driven information Strong communication skills verbal and written Exposure within Microsoft Azure micro cloud",www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=0000018481102d54bb94fde9b14e82c1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c0202d73&cb=1668612632194&jobListingId=1008283972315&jrtk=3-0-1gi0h0bcaimbp801-1gi0h0bcqg4ft800-d99997d9808ae48b-,"https://www.glassdoor.com/Job/london-data-scientist-jobs-SRCH_IL.0,6_IC2671300_KO7,21_IP1.htm?fromAge=7",1
Dent Reality,5.0,Data Scientist,"London, England",Unknown,NA,"
Proficiency in Python developing statistical and machine learning models Ability to build required tools and frameworks for fast data analysis Energy and enthusiasm to inspire followership and to work effectively in a low ego environment Clear passion for making products more customer-centric by using data science ethically 
Skilled at influencing and communicating to various stakeholders up to executive level Specialism in one or more of the following: reinforcement learning, deep learning, location data processing, agent-based modelling
 
Competitive salary Generous share options 25 days holiday per year Pension scheme We're a remote-first company - we work remotely four days a week and we spend one day per week together working on-site where we can test our tech, or at a co-working space in London",www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=0000018481102d54bb94fde9b14e82c1&src=GD_JOB_AD&t=SR&vt=w&cs=1_349c8b44&cb=1668612632194&jobListingId=1008280121095&jrtk=3-0-1gi0h0bcaimbp801-1gi0h0bcqg4ft800-b2d287435da73fb3-,"https://www.glassdoor.com/Job/london-data-scientist-jobs-SRCH_IL.0,6_IC2671300_KO7,21_IP1.htm?fromAge=7",1
Mintel,3.7,Statistician (Consumer data / Data Scientist|),"London, England",Company - Private,Advertising & Public Relations,"A degree with a significant research methods and statistical analysis component, or relevant qualifications in mathematics, statistics, and/or relevant experience in research and data analysis Previous experience in a market research or data analysis role (agency or client-side) preferred Advanced knowledge of at least one programming language for data analysis, preferably R A deep knowledge of statistical and data-modelling tools and techniques, applied to research-type datasets (e.g. survey sampling, weighting, imputation, key driver analysis, market sizing, segmentation, factor analysis and development of indices / composite measures) Experience of analysing survey data using segmentation, MaxDiff, conjoint and other advanced analysis techniques Experience of designing and analysing quantitative consumer questionnaires and data Great organisational/time management skills The ability to communicate difficult concepts in a clear, straightforward way and work collaboratively and to build and main strong relationships Culture that supports true collaboration whilst embracing remote working. Flexi-Time working hours (start working between 7:00am and 11:00am). Blended (home/office) approach to work post Covid. Approach to personal development where we encourage individuals to grow and share what they've learned. Social events, both within the department and across the company Home Office allowance, as the working model will be a blend of home and office working Generous holiday allowance with the opportunity to buy back additional holiday. A day off to celebrate your birthday Giving back is part of our culture with this in mind Mintel gives each employee 2 days per year to give to a worthwhile cause. Open plan office with breakout areas, coffee machines, pool table and table tennis table",www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=0000018481102d54bb94fde9b14e82c1&src=GD_JOB_AD&t=SR&vt=w&cs=1_125e7ef7&cb=1668612632194&jobListingId=1008279177357&jrtk=3-0-1gi0h0bcaimbp801-1gi0h0bcqg4ft800-88245aa1f10b2ea2-,"https://www.glassdoor.com/Job/london-data-scientist-jobs-SRCH_IL.0,6_IC2671300_KO7,21_IP1.htm?fromAge=7",1
